time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.695193232e-06,3.74364775818e-06,10.0039636403,0.00110076764712,0.000979077552054,0.0,-0.000273960650287,0.000231255168575,0.132114367744,0.0103556539943,-0.0121054209848,0.0,448.08265569141116,447.0977128376788,445.9327330537092,446.777636095507
0.12000000000000001,-4.69230507963e-05,4.55425547241e-05,10.0154519505,0.00238785049852,0.00200320627804,0.0,-0.00125743259821,0.00128868741736,0.250809597587,0.0181739097223,-0.0278483248863,0.0,444.19990577164435,442.9073050564697,441.7664532112714,442.41042788119483
0.18,-0.000182094473915,0.000203400468029,10.0349197719,0.00960694002214,0.00619979587164,0.0,-0.00367803996773,0.00473185546124,0.398072316922,0.0441193058666,-0.00248640751647,0.0,450.4057995404294,452.4519573058342,450.9979084512037,453.08850328602887
0.23999999999999996,-0.000548056779489,0.000719379931868,10.0641281116,0.0122433413937,0.0066936865626,0.0,-0.00858770852415,0.0127667849037,0.575462321067,0.043306020735,-0.012552541467,0.0,461.03208192126374,460.2362750645686,461.4208183126574,461.35762589310366
0.3,-0.00119913161799,0.00174827091272,10.1015532504,0.0150801796871,0.00612546540468,0.0,-0.013062929314,0.0218236080535,0.671986347716,0.0366233036936,-0.0186138311746,0.0,436.00499233909767,435.49847185533457,436.885574733641,436.32903572048906
0.36000000000000004,-0.0021203492207,0.0033890815025,10.1453248477,0.0182215896185,0.00788229756053,0.0,-0.0178476913311,0.0332087319656,0.786987209998,0.0247123187871,-0.0384225294594,0.0,442.8034516750936,441.17098664907013,442.8036628013532,441.823294516408
0.4200000000000001,-0.00337724865225,0.00580689775571,10.1978744442,0.0197384085037,0.00932881164436,0.0,-0.0241893807216,0.0475533913804,0.964528106449,0.0258637724483,-0.0183702860703,0.0,459.7170404246162,461.302622767646,462.53619455780074,462.6269329037505
0.48000000000000015,-0.00503783395704,0.00907917639021,10.2590097804,0.0212821863382,0.012555080816,0.0,-0.03152071044,0.0616818265628,1.07321285224,0.0239748734068,-0.0423927280808,0.0,442.36016441261785,440.3776024572567,440.0230446100861,439.8667817819493
0.5400000000000001,-0.00714514183199,0.0131652548505,10.3236168277,0.0227564741494,0.0100270131685,0.0,-0.0384991693526,0.0746495638109,1.08034807961,0.0251697011251,-0.0417763473227,0.0,406.99117564934204,407.0451887020137,408.1731616590234,408.27990617302385
0.6000000000000002,-0.00969912125322,0.0182320491135,10.3954122598,0.0291024015958,0.00911083533963,0.0,-0.0465381880047,0.0949814717859,1.31257696639,0.0480886205399,-0.0568434325304,0.0,479.46237317253696,478.31527504193565,476.77730764743274,478.525322560284
0.6600000000000003,-0.0126572105581,0.0245184397394,10.4759354567,0.0355578485243,0.00604703270972,0.0,-0.05176519877,0.115163143169,1.37144310772,0.0676212784234,-0.0514819576086,0.0,425.80777866935915,426.26396697073676,424.12987922555396,425.8061630446769
0.7200000000000003,-0.0158807629777,0.0322331963343,10.5619624105,0.0461657049784,0.00308256895405,0.0,-0.0553694755113,0.143140992118,1.4959213586,0.0383583261724,-0.0486356242993,0.0,446.79171035186226,447.02208514233047,447.5707150277336,445.18530562331256
0.7800000000000004,-0.0192545664184,0.0417071019278,10.6530427738,0.0485609576857,0.000905927726906,0.0,-0.0568964301515,0.172881241164,1.54001987122,0.0335957150691,-0.0593448821053,0.0,422.94273644227485,422.01751497035247,420.29902113257367,419.88679435406976
0.8400000000000004,-0.0226747067982,0.053317279194,10.7518796056,0.0641189698354,6.28054314073,0.0,-0.0566894015709,0.215912012955,1.7541351487,0.0727255083762,-0.0622635752969,0.0,474.98761677202884,474.7614250809415,472.3271698833273,475.33634891135614
0.9000000000000005,-0.0260317052588,0.06769354343,10.8613384295,0.068554971015,0.000184491529286,0.0,-0.0555486866245,0.263757242482,1.89423357159,0.0747090131271,-0.0915520470848,0.0,452.9426633667726,450.57723313119266,454.02009038782114,454.1832533979025
0.9600000000000005,-0.0293530957817,0.0848844872669,10.9769804317,0.0733905224619,6.27936908248,0.0,-0.054763827749,0.309727889969,1.9603492345,0.0801268783791,-0.0793164510343,0.0,429.8642764215842,430.8931950169504,429.6532715823474,430.1171827748325
1.0200000000000005,-0.0325516202792,0.104969314496,11.09680562,0.0842904681058,6.2764837226,0.0,-0.0515571285413,0.360850914172,2.03359973129,0.0518613245572,-0.0654744274231,0.0,431.8301367910349,432.99158543670086,434.40276962055094,432.03023819038276
1.0800000000000005,-0.0355260364824,0.128315626682,11.2210661581,0.0885689370955,6.27995276422,0.0,-0.0479637785768,0.417753709559,2.10823909555,0.062554508682,-0.0964933759751,0.0,435.2572970274645,432.64887710866935,433.0230518835635,433.9237731122871
1.1400000000000006,-0.0383203192281,0.155477784791,11.3531252561,0.0967194242162,6.2776766165,0.0,-0.0449439719822,0.488576355494,2.29327169588,0.0383518779584,-0.118262363534,0.0,468.6526344546432,466.9487882328762,469.83188130806184,467.9536091581801
1.2000000000000006,-0.0408889899285,0.186698683077,11.4922992578,0.108130196715,6.27144710789,0.0,-0.0400961257949,0.55321998447,2.34561914906,0.0040670267434,-0.129729116888,0.0,428.04121068559493,427.05013285192547,429.771726271214,426.85628284247656
1.2600000000000007,-0.0430282869082,0.22209687196,11.6355184646,0.114520609994,6.26380749012,0.0,-0.0304496293537,0.627300451568,2.42808364256,0.0300516933017,-0.126601274998,0.0,437.86013695996644,438.10485870246083,437.2860834856727,439.44520511423565
